username,review,rating,sentiment
KunvarAishwary,"Either portray the leads to have super human abilities and call them super heroes, or give them humanly strength and portray them only as powerful humans, but you can't and shouldn't portray super humans as normal beings and that too simultaneously. It is a mass entertainer, where heroes can do anything and no one and nothing can hurt them. The heroes can fight a mob of 1000s, can fight lions and tigers, can lift, throw and use a motorcycle with a hand, can get buffed up with one meal a week, can break open a complete hard-iron jail cell, and so on. It is another physics defying movie portraying humans as God (literally too).First half was still 6/10, but second was just a plain mob pleaser. Continuous fight sequels with dragged storyline. The whole story is: We are friends, I betray you, you betray me, I save you, you save me, we save the world. Two men against the world, still victorious.Stretched, too violent and loud, weak plot, physics defying, logic less mass entertainer.",4/10,positive
rdhontika,"What a wonderful movie 🍿🍿🎥🎥 this is..... I think everyone of India 🇮🇳🇮🇳 should watch this movie. I mostly liked the fighting scenes in this movie and the song NACHoo Nachoo. Both lead actors The RAMCHARAN TEJA, JR. NTR has performed superb in this film. This movie is about the uprisings against the BRITISH 💂💂🇬🇧🇬🇧🇬🇧 LAWS, and voilent freedom struggle against them. In this movie JR NTR has played the role of KOMRAM BHEEM , who is the legend of Andhrapradesh (now presently in TELANGANA) and ALLURI SITARAMARAJU who was famous for his GURRIELLA WARFARE TECHNIQUE. He was a master in ARCHERY. And he was famous for his crossbow 🏹🏹🏹 and AXE fighting....",10/10,positive
manojkris,"Visual treat and no words to describe. Screen play, direction and action is just the best. Each frame is so well planned and shot. Technically very high standard movie.",10/10,positive
tkgroup,The story line chosen by the Rajamouli sir was fantastic and he balanced both star heroes in very good way it is one of the worth full movie which we can enjoy entire movie and both the star heroes done a excellent job they have given their 100 percent to the film finally the credits go to Rajamouli sir and both heroes for their hard work and efforts for this film.,10/10,positive
kandulabhagee,"Excellent movie.Will watch it again.Highlights :
Jr NTR, Ram Charan, Elevations, Interval and climax. Excellent acting.Bgm is extraordinary.Songs and dance are good.Action packed drama from great director rajamouli.Already Waiting for the next project announcement.",10/10,positive
personalacc-87247,"Do not trust the positive reviews, it's not that good but at the same time it's not the best, this movie has a lot of logic loops. Another 2 Indian supermans saving each other! If you wanna watch it for fun, go ahead.I would give a solid 6/10, mainly for the film's fantastic visual!",6/10,positive
sbshakil,"Mind blowing Movis.Fantastic Movies
He is also hit and blockbuster.Raja mouli he is the great man of movie maker.Mind blowing Movis.Fantastic Movies
He is also hit and blockbuster.Raja mouli he is the great man of movie maker.",10/10,positive
balasachin-40548,"Movie has a good first half even though the interval sequence is over the top and very artificial,but the second half is all messed up. Major portions of first half looked like a historical film but the second half is like a fantasy movie where it's all VFX and it's tacky. There are many sequences in the film which are outdated for instance singing a song when people are bashing you :)
Rajamouli seems to be good director but he adds too much of masala that you end up sneezing after watching the film.",6/10,positive
raghuk-66211,"Worth to watch. Visuals are fantastic.Full action packed and full entertainer.Both heroes are did exceptional performance.Director proved again, he is the jakkana.",10/10,positive
ravi-karri,All laws of physics are broken in this movie. It is for the stardom and commercial success. Personally I would have really enjoyed if this was a true story than fictional because the team went through great lengths of production and budget on this one.,6/10,positive
movies_are_life_,"No doubt about it, the action scenes are inventive and fun, if a bit overdramatic. Unfortunately, scenes not involving action are made as if they were action scenes. This style of filmmaking works for some, but to me felt as if they way over the top (which is a staple of many Indian films).I do appreciate the director's intent with the filmmaking, but watching it felt like a an exercise of getting to the next action scene while having a ""meh"" feeling in between.For anyone who likes the over-dramatic style, you will find a lot to love and I urge you to watch it. For a general audience, you may check out of the movie early on and may not care how good the action is.",5/10,positive
iain-13420,This amazing movie is an absolute masterpiece in film making. The special effects are incredible but they never detract from the compelling storyline.The acting is astonishing and it's one of the very few films I would actually watch again and again. The music and choreography are phenomenal too.The two main characters strength and agility is so impressive and their skill in portraying a huge range of emotions just blew me away. Each scene must have taken ages to produce. I'm running out of superlatives here as this movie is beyond doubt the best I've seen in a long time. I'll be thinking about it and reliving it for a long time to come.,10/10,positive
ryanmo-35178,"Should be my first Bollywood movie. Used to hear a lot, dancing, overly acted, long movie. Though this one has all the above, but the plot is okay as Ram is aiming to revolt against the British, and with the help of his friend. The animal catching is quite fake but can be acceptable. The most memorable scene is one against 1000! May watch more Indian movie in the future.",9/10,positive
pruthivirajchoudhury,"Mast movie. Screenplay is very good. Good VFX is used, without any error. The direction of rajmouli sir is very good and both Ram charan and NTR is good in their character. In my point of view it is superior movie. It is a that type of movie where i feel like Hollywood movie.",10/10,positive
prashantsharmaleader,"Simple Go and watch you will forget lodu bollywood.... Please go and watch its worth watching... fantastic fabulous extraordinary movie... Acting of jr ntr and ram Charanjit fabuolous, action like never seen before... you will start loving ss Rajamouli... must watch...",10/10,positive
stanzaa-25691,"Created hype to get money, Kashmir files is too good to watch then thisJust to not let down any hero as of how Tollywood hero's will show case , did same thing not to show anyone upper hand.",7/10,positive
jamesmaltby,The two male leads have the best chemistry I have ever seen. Impossible to not root for them whenever they team up. Great over the top action as well.,10/10,positive
soniprince-10830,Not up to the mark not good as the hype. Action seen is super awesome but story is average in story what they want to show i cant understand according rajamouli previous work this is not enough.,6/10,positive
Prince_,"#SuperDirection #GreatActing #WowMusic #AwesomeStory #Blockbuster #Rocking #Inspiring #Wellmade #Unbelievable
Only one word RRR is on A . What a great experience . Only for theatre experience . 3 hr Film but never felt like it's too long . Great execution . Graphic are average some time but overall great direction . Absolute bomb .Full on mass element .",10/10,positive
adarshreddy-54399,"Just ok to watch just created hype and marketing to get money and nothing else normal movie just because fans and these Hindi audiences and many people think it is a real story ,And don't know how this review writers right the reviews.Ram charan's acting is top notch!!He will be the next MEGASTAR of TFI.",6/10,positive
balchanderbhagwath,"The movie is extraordinary superb, but with no logic. I hate to say rajmouli sir this time has not been able to love you bahubali expectations. First half of the movie is gripping but the 2nd half will make you regret studying science back in school.Not up to the hype!",1/10,negative
leviahholiday,"This is the most fun I've had watching a movie. It was 3 hours of pure excitement and goodness. I finished it and immediately wanted to watch it again because it was so fricken cool, the ending dance was such a feel-good scene, and such a perfect end to this perfect movie. I've never enjoyed a movie this much !!! There was never a dull moment.I've never seen an Indian movie before this one, but man I loved every single second of it !!! Never before have I seen such a thrilling, emotional, funny, over the top, beautiful film. I fell in love with the characters immediately, and I was extremely invested in them. All the plot twists and turns were so good too, it kept me on the edge of my seat.This is just the best film ever, it's a masterpiece. I doubt I'll ever have this much fun watching another movie, unless of course they make a Part 2!",10/10,positive
Gloria_Green,"I couldn't stop myself to watch this movie 4 times, I thoroughly enjoyed every scenes and dialogues..It took me to the emotional journey..This movie was a perfect recipe of Action,drama, romance,friendship,patriotic,suspence and thrill and certainly lot of emotions, What i hate about this movie was over all performance of Alia bhatt, she did really bad job, she was not suiting in her character, I wish film maker should have considered some other north actress ,except Alia everything is best -direction,performance, cheography ,cinematography, songs,music...All characters acting was too good...Rajamouli is Superb !The most part I love about that movie is ""Nacho Nacho"" dance performance sync ,what a dot to dot sync between two actors..",10/10,positive
dheemanth11,"The movie runs on a thin script. Very thin script. The biggest merit of this movie is Rajamouli never lost the sight of the story line. There are no deviations happening except for the story. Who is the lead character in this movie? You guessed it.. the freaking story. So gotta give up to the director for making sure the story and purpose is not lost to ensure the actors their due screen presence.Now coming to what's not great.. well, it's the thin story line. And the movie wasn't engaging at times. Audience took their eyes off the screen here and there to be honest.",8/10,positive
sumanth-05484,"Wow Jakkannna Rajamouli garu Hatsoff , I Felt he is a messenger of a God sent to Showcase amazing Visuals for humans .Jr NTR and Ram Charan What A Performance .Both are Amazing.Mesmerizing Visuals .Strong plot .Just Brilliant .Mythological References gives Goosebumps.Must Watch For everyone irrespective of ages .",10/10,positive
MovieIQTest,"When Alison Doody was born in 1966, when she was young enough like what we saw in the related photos, wow, she's really a beauty to be desired and dreamed about. But when she played the role as Catherine Buxton in this 2022 movie, she's already 56, so like lot of the women, especially in the movie entertainment business, who rely heavily upon their looks, the only way to maintain that kind of look is injecting Botox or other plastic surgery to make them look okay without wrinkles. But cast Alison Doody to portray a British colonial woman in the 1920s era with obvious Botox and plastic surgery face, and showing that face in the very beginning of this movie, it inevitably forced me to disconnect this movie's credibility. Then the typical singing and dancing in Hindi movies further such disconnection. I have high expectation of this movie with such a high ratings, but I just couldn't watch along with these crappy singing and dancing formulas in a supposedly serious historical suspenseful movie. These same old same old formulas in Hindi movies are the reasons why Indian movies would not and could not to be take seriously. So like always, I gave it up again after 15 minutes.",,positive
jeromesgabilo,"Very rarely do I watch an Indian film and this one really blew me away! A tale of two friends from different backgrounds in colonial India was such a perfect backdrop for the marvelous storytelling of this epic drama. The cinematography was vibrant and dynamic, from simple dialogues to its entertaining dance scenes. This alone should have gotten an international acclaim from critics. The two actors' performances was an equally integral part of the film. The emotion they poured into their roles were very inspiring to the rest of the global movie industry. The music and score were impressive as well. India was made a more interesting country because of this movie.",7/10,positive
MehdiRizvi-7867,"RRR. Master piece from Master Story Teller...All I have to say is Movie is beyond expectations.Both CHARAN and NTR has done never seen before performances and enacted very well in their Roles.Story is very gripping and Emotional..
CHARAN is soul of the movie. NTR has nailed his role.CHARAN shown his intensive Acting and Emotional roller coaster performance.NTR is highlighted for the first half.Second half is reserved for CHARAN and he dominated with his performance.Ajay Devgan, Alia Bhatt did their best.All expectations of Audience, Rajamouli has delivered more than that in each scene.Intro , pre - interval, Interval bang post-interval, Pre-Climax & Climax Each part of movie is marvelous.Story by V Rajendra Prasad sir is awesome thought of bringing two great Freedom Fighters for Nation at one time.It's ""Once upon a time in Delhi"" for Nation and for freedom movement.BGM is the major highlight and strength for such a performances and story. Kudos to MM Keeravani.Cinematography by Senthil is awesome.Kudos to Action Director Solomon.All Technicians given the best ever.One man behind all these "" The Maestro, Magician
""SS RAJAMOULI"" a big vow to you Sir. Salute and Hatsoff .. Words not enough to praise.Best from SSR..Overall it is a great satisfaction, amazing feeling, Awesome experience, Proud moment.Do watch movie on Big screen And only in Theaters to experience the magic of RRR-
""Ram Charan -Rama Rao -Rajamouli "" combo.",10/10,positive
mrglenngrant,"This was highly recommended on the ReelBlend podcast so had to give it a watch.I have to say that I wasn't as enamoured with it as they were.Yes, it's a great epic story that's very very loosely based on kind-of factual events ... and the characters are wonderfully hammed up by the leading actors.What I didn't like was the fact that it wasn't in it's original language - not on Netflix anyway. Even when i switched it to Hindi the lip-syncing was way off. Don't know why they wouldn't have the original audio but that was a bit crap.Some of the action pieces were fabulous ... and some were too over the top and a bit silly.A great tale though!71/100.",7/10,positive
foxmichael-60197,"This film was recommended to me. Otherwise I would never have watched it. So luckily my ears and mind was open to watching something that is well...STUPENDOUS.Even at 3 hours plus this gripping tale of violence, morals, love, dance, culture, philosophy, colonialism, hatred, - (insert another fifty or so words at random and they will apply) was entertaining in a way that realistic films are not. I would love to see this in a packed cinema in Mumbai or Delhi. I can imagine the experience would be fantastic.Of course, I watched in on netflix. But that's okay because I would not have seen it otherwise and now a new culture of film has found its way into my life. Indian film.I don't really care too much about whether it drags or if it was not the best CGI or whatever, I mean they even tell you at the beginning these are not real animals and it is all made up and the tribes don't exist...etc, so I love that. They are remind everyone ""this is a story, we made it up, sit back and enjoy the ride"". But despite the ""story"" everything is just about believable if you want it to be. And isn't that supposed to be how a film works?That you just let the film take you on a journey to somewhere you would not have gone?I watched this film and listened to some Indian music and then I wanted to dance. Weird. Yep. But guess what. Weird is better than boring. Any day of the week.",9/10,positive
Schrodingermind,"Movie started off well and the racy ride pulled easily through the intermission. I was reminded of a great Tamil movie named ""Inaindha Kaigal."" But here, in a broader setting, the story revolved around a smaller premise, and that had to give out some repetitive screenplay pattern. Regardless of any views, this is a proud moment for Indian cinema. And, Ram Charan stole the show.",6/10,positive
majeetitu,You have changed the entire history not shown the rebel against Nizam. You have shown Nizam as good person while he was equally responsible like British to crush the poor tribal people.,2/10,positive
info-90701,"As over the top action goes, this is up there with Tarzan and a host of the American made films. Pretty much cartoon style action adventure with incredible shots and well matched opponents.The cinematography is great, the story is not that unique, but the delivery is Bollywood on Bruce Willis of the 90's steroids. The actors are strong as they deliver an overall the top performance, and the music is interesting - perfect at times and too much at other times and like everything else, way over the top, as is the acting, to the point of comical often, but still worth it if only for the sheer nerve of it all! Of course it is as ridiculous as any war film is, since war is utterly absurd, but that is what it is. No sillier than any Rambo movie though.This film will absolutely and completely point out the abject evil of colonialism for sure, and the lostness of those who turn against their own, but that is a universal truth being told again and again in books, plays and films for centuries. It also speaks to the subterfuge of the double agent and the struggles they face. There's a lot going on in this film, but determination is the key to this story.Some of the brutality goes on too long, but apparently India is a brutal country. The cruelty with which powermonging monsters work to keep and exact that power is often astounding. Revolution is a powerful thing, and more often than not needed. This is apparent in this film. It is a tribute film to revolutionaries who fought to freedom under colonialism though I don't recognize most of the people at the end that they seem to be honoring. Still, good to know.It is well worth seeing if you like action. There is a combination of everything in this film. It is worth it for the sheer physicality of the movie if nothing else. These actors are no joke as action heroes go, and Bheem is India's McGiver! The stunts are off the chain! Looks like they had the same stunt coordinator as Patty Jenkins in Wonder Woman.It is just fun!",10/10,positive
supermanbengoku,"This movie has many goosebump scenes and it's insanely just pure fun. 2nd half felt little stretched. It would have been a masterpiece if it was trimmed by 10 minutes.This movie has everything awesome Cinematography, insane action scenes, buddy comedy, beautiful visuals and heart touching music, romance, dance numbers. Action choreography was so good.Suspension of disbelief and physics is required to enjoy this movie. This is the perfect movie to watch with friends or in theaters with crowd.This is a very fun Rollercoaster and it cranks the action scenes and fun to a 11.This is an true Indian masala fantasy movie.",10/10,positive
dbentley-01097,"Absolutely incredible movie with amazing visuals, epic action sequences, and electrifying musical numbers. When I started watching this movie I could not stop watching it despite the 3 hour runtime. It's just that good. HIGHLY RECOMMEND.",10/10,positive
floridagirl-48792,"Ok, it was a BIT long... but it was great. They had a lot of story to tell. I was tuned in the entire time. I usually fall asleep during movies. My eyes were peeled. I was invested.Some of the actions were a BIT overdone. But... it's a movie. You have to do it up all dramatic-like, so I get it. It was cool. They had some great scenes. I was a bit lost at times, but it all came together.And now I am spending the next hour before I go to sleep looking up the actors and learning about that final scene where they showed what I'm guessing is previous leaders from India, that whole montage. I want to get to know more about them and what they've been through. It totally sucks that England was so awful to them way back in the day. And now if you eat anywhere in London, curry is an option. There's curry everywhere. I once stayed in a hotel there and the room service had 5 different versions of curry, and that's it. No other food options.Anyway, this movie rocked. I hope the people that did this movie do more stuff!! It was great!",10/10,positive
liptonandarunavaghosh,"The visuals are great, the sound is brilliant but the story script cinematography the way the story was organized was very average! Very lengthy... No great heart melting song, no great moment. Nothing remarkable or lifetime remembering... A one time average movie with great visuals & sound experience!",6/10,positive
sridhar-36074,"Mind blowing direction, cinematography..
Superb acting from all actors..!!Great story choice. Scene play is Amazing.Heart felt thanks to Rajamouli Sir for taking Indian films to top notch. Overwhelming to see Telugu movies doing wonders!!",10/10,positive
kunalrohit-23360,"I watched this movie with a lot of expectations yesterday and got disappointed with storyline execution and unnecessary lengthy runtime. Yes, there are couple of sequences which kept me at the edge of my seat, also the background score, VFX and the brilliant acting is what the movie is all about.Moreover, certain sequences make it really difficult to understand with the scenes -1. Why Ram and Akhtar didn't dive into the river to save that child? Why did they have to go to such length when one of them could've rescued that kid (not drenched) by swimming? Though they did swim after saving the kid (soaking wet).2. After breaking into the royal palace and got caught by Ram, what happened to all those wild animals? I don't think it's wise to leave those wild animals unattended in a crowded area.3. Akhtar and Jenny couldn't communicate with eachother because of the language barrier, however before breaking Ram out of the solitary prison, Jenny explains Bheem about the layouts. How could he explain the situation to her and how can she understands and helps him with the same language barrier?4. Ram's makeover - yes, he was treated by Bheem after the prison break but how could he be wearing saffron 'dhoti'. Treating him is one thing but new clothes? How?5. Ajay Devgan' vision was to chase Britishers back to their country, however all the Ram and Bheem could do is destroy a mere building. Plot and climax doesn't align.Do watch at your own risk!",6/10,negative
umakantsharma321,RRR is a cinematic extravaganza that delivers a powerful punch of action emotion and patriotism. Directed by the visionary SS Rajamouli this epic tale of two legendary freedom fighters Alluri Sitarama Raju and Komaram Bheem played by Ram Charan and NT Rama Rao Jr. Is nothing short of a visual spectacle.The film takes you on a rollercoaster ride through the pre independence era seamlessly blending historical events with fictional elements. The breathtaking action sequences and jaw dropping special effects are a testament to Rajamouli filmmaking prowess. The choreography of the fights and stunts is a masterclass in itself keeping audiences on the edge of their seats.,9/10,positive
nnjqhgvjx,"Just ok to watch just created hype and marketing to get money and nothing else normal movie just because fans and these Hindi audiences and many people think it is a real story ,And don't know how this review writers right the reviews.",7/10,positive
pranavmanwatkar,Inappropriate content and a worst movie ever made by Bahubali director. Because Bahubali is something else which was never have been seen or made by anyone.,1/10,negative
sparklypinktrex,I don't get the negative reviews. In no place does this movie drag at all. Over three hours felt like 20 minutes. I never wanted it to end. This is one of the best Indian films I have ever seen. Lol and for me that's epic because my god SRK isn't in it. But I still loved every single second. I found no parts cheesy or trope like. The cgi was amazing and the whole film was just epic. I've never seen anything like it and I've watched hundreds of Indian films. This one is just special. I don't normally watch action movies. I prefer the romantic ones. But I gave this a shot and was not disappointed at all. I never knew I could love an action movie as much as I love this one. This is way better than anything Hollywood has produced in a long long time.,10/10,positive
mepivnenko,"I didn't see more than 3-4 Indian movies, so I'll start from the scratch. Specific songs and dancing scenes pop up from nowhere when it's not expected at all. You'll giggle and laugh at the first time. The music is nice, so you may want to join the party by the end of the movie. Superhuman abilities and mortal kombat style of fight are fun and crazy a bit.The storyline is quite simple, but emotional. I won't share any spoilers here. Most likely the simplicity and the human feelings are the core of Indian production.We were scared to watch 3+ hours movie, however it flew by quickly. Highly recommended!",9/10,positive
jcurtis-27126,"I love movies like IP man. For the action scenes are just done right. And every hit you can just see the full connection of fist and face. This movie had me glued to the screen the entire time. I love the opening scene. Even though it's a simple plot it was just done very well. Even though you may look at some of the scenes as unrealistic, it was highly entertaining and fun to watch. I also love the fact that there was no f-bombs in this movie. These are the kind of rated r movies I like to watch and I wish society would produce more of. Just the right amount of violence and Gore to be realistic and zero to no profanity that wasn't needed.In today's world and at least in america, we can't get a single solid action movie that goes all the way without having a billion f-bombs. And I get it it's a culture thing. But sometimes I feel like there's just too much of it. Especially throwing sex into everything. It was nice that this movie had zero sex and zero nudity and nothing raunchy.I got bored watching pg-13's nowadays because they're they just look unrealistic. Somebody gets their throat slit like in uncharted and there's no blood anywhere. This movie was brutal and violent but in a good way that fits. None of it was over the top. Take the movie Django unchained for example. It's a good movie but there's a lot of f-bombs the blood is over the top and there's nudity. Still a good movie. But this one just really left you with the feeling of feeling good. Your favorite character is live, the characters you hate die, and it was well put together.",10/10,positive
Dominic_25_,"I wish I could watch without a dubbed version. I wish I knew more about South Asian Independence from Britain. I wish I knew more about Hinduism. And I wish I knew anything about Indian cinema.Given how little I know about the context of this film, I was able to experience it in a way I cannot experience American or European films. Completely unbiased.I like how absurd the film is and how overacted it is. Usually those would be negatives but the point of this film is to be over-the-top and prove that it can still be enjoyable, and I think it works. None of these characters are real and none of the events are real. So the fact that nothing in this film is realistic does not matter. It is a film about the rebellion against one of the most oppressive forces in human history and it works wonders. All while being incredibly fun along the way.I will revisit this one after I familiarize myself with the context I mentioned above. I'm so glad I watched this.",9/10,positive
thethundericmanager,"RRR: The film which many Indians were waiting to be released in March 2022, released and got mostly positive reviews, but I would like to tell positive and negative aspects together.*Indian review* Read the complete review pls, no doubts would remain in your mind.Amazing Music! Very melodious, and some tracks were thrilling!Gets emotionally attached to the audience! Screenplay is greatly done!Great VFX! Very nicely done and feels very realistic, cinemaphotography
and visualization would have been tough.Hats off to the whole team!Didn't become as much good as I expected it to be, seriously I was hooked in for it, but It seriously! Honestly! Did not deliver what it promised! The trailer and the hype which is always built by everyone for a Rajamouli film was on another level, SS Rajamouli is very good director but what his speciality is, he shows something which is out of the world, his films are not fully fantasy based but, give the vibes of that genre.The Acting and the action scenes:- listen I won't straight away bash them but honestly did not like Rajamouli integrating them here, not necessary at all, in Bahubali series he was clear, great action scenes! (lifted from hollywood) were there, and yes seriously they were good.But here they are over the top! And defy physics, biology.Acting: Ram Charan did a great job, unlike his other roles, he felt very confident here and lived his role, JR Ntr in some scenes was weak, some of his expressions were childlike (while getting angry or sad) I don't how his part was messed up, because he is the one who is experienced than Ram Charan, why so? I still don't understand because he is a serious actor if we look at his other films.NO PROPER STORYLINE!STORY IS:
LOST, SAVE, REVOLT
BAM!I mean seriously? How could this be the story of a period drama film based on freedom fighters? Ok if it is fictional but this went away from bullseye!Rajamouli has given 4 Period Drama films back to back, this is not what his old films were like , he is experimenting but this would start getting boring if he makes one more with similar tone and use of similar musical instruments and notes in his films! He must deliver a different film now.Thanks for reading!",7/10,positive
lokeshbangar-51474,"NTR intervel sence 🐯🐯🐯🐯🐯🐯 is a fabulous whole of the movie
We, Indians, never really complain about dance. We are born with dancing right from the time we come out of our mother's womb. Dancing is embedded in our flesh and blood. So you won't often find us complaining about it,"" Jr NTR said.He added, ""In order to gain interest in dance, you should learn to love dance first. We have some really greatest dancers and choreographers in the Telugu film industry.Actor Jr. NTR aka Tarak is basking in the phenomenal response for his latest release RRR, which marks his fourth collaboration with filmmaker SS Rajamouli. The period drama, which also stars Ram Charan, has grossed over 500 crore at the worldwide box-office in its opening weekend. Tarak has said everything he has done so far in his career prepared him for RRR.",10/10,positive
cwbellor,"Have u ever watched a movie that gave you the impression the director was trying to make the greatest movie of all time? S. S. Rajamouli didn't exactly succeed with that, and that's okay. His intention was possibly not as lofty but no less ambitious. He may have sought to simply make the most delightfully over-the-top movie you've seen.A girl is kidnapped from her village by a plastic-faced British devil woman. How she managed to get work done in the pre-botox era is anyone's guess. Then we cut to the scene of a small police compound being surrounded by thousands of CGI locals. It's a scenario on par with Zulu (1964) but on the scale of World War Z (2013). Whatever the case, it's a high-anxZiety situation where we meet one half of our hero team. Raju stands guard with precision poise in a sea of chaos. But when the hostile sh** hits the fan, his stoic default setting is disabled and he goes into crowd control mode. What follows is a THWACK-BASH-POW demonstration that he is a one man wrecking ball. But of course he is passed over for promotion for not being white enough. When he takes out his frustration on a punching bag, it looks like he's auditioning for the latest DLC character to join the Street Fighter selection screen. Move over Dhalsim! While Raju likely fulfills every Chuck Norris myth ever created, he is not the only mighty manimal in this country.We are introduced to Bheem as he is playing a game of crouching body hair, smacking tiger deep in the jungle. Bheem is fierce, but he has more of a cuddly Teddy-bare-chest vibe. This will be juxtaposed nicely with Raju's suave presence and tucked in shirt.These two cross paths when they pull off a coordinated acrobatic rescue using nothing but hand gestures and enthusiasm. It creates a bond that the soundtrack insists is historical. Whether these two will become the Lennon & McCartney of ass kicking, we don't know just yet. But it's quite possibly the cutest match-up in the subcontinent. Watch and giggle as Raju helps Bheem win over the apple of his eye by pulling a Mariokart tactic. Let's just say he nails it. Then it's a Bollywood dance off that will make you sweat just watching it. We haven't even hit the halfway mark yet.A cast of thousands, gravity-defying stunts and a CGI tiger. No, it's not Army of Dead. This is RRR. It's essentially a martial arts spectacle heavy on the inspirational grand-standing while simultaneously making you laugh. Whether the heart-tugging moments are sincere and cheesy or satirical and hilarious is not clear. But when Bheem lays siege to the villain's palace by delivering the zoo, you've likely already accepted that the theatrics and melodrama are part of the package. That's to say nothing of Raju doing pull-ups in a 4x3 sweatbox utilizing nothing but a sewer grate and national pride. Hell, there's even a bit of parkour stealth during a rescue mission.My only previous Indian epic viewing was Saaho (2019) and that 3 hour macho turd doesn't hold a candle to RRR. If you can stomach the running time and the sappy dramatics, you will be rewarded with a feast of action and maybe even a few tears.",7/10,positive
viperofvic,"In the text Ramayana, Sita is kidnapped by the demon king Ravana, and has to be rescued by Ram and Hanuman. I won't go into details, but there are a lot of similarities and smart interpretations of the Ramayana, and I love it. That said, it's not following the original story to a tee.The choreography and photography is absolutely great, and if you're a cinema need, this should be a treat for you.There's only two dance numbers - on that is well applied to the plot, the other is at the very end, so it doesn't feel like a typical Bollywood production.Three hours long, and I still want more. Will definitely watch again.",10/10,positive
kaushlendra-choudhery,"Much Hyped movie. Nice cinematography equipped with average storyline. Watch only if you want to see Graphics, Action, Drama. Bahubali 2 was even better than this.",6/10,positive
NithinPrakash,"There are too many exaggerations, too much hype. Not worth the watch. Most of the reviews are fake or given by fanboys. The plot is all over the place.",4/10,negative
GhaithYamen,"The work may be very cheerful, and this is what we miss in the past years. I think everyone who will see it, you should throw your cinematic background as if you did not know anything about it. If you do not do that, you will not like the movie.For example, some will see CGI as ugly and unforgivable, and others will see it as funny.There is one very positive thing to talk about which is the way of displaying friendship that you can feel and empathize with.But in general, you should never take the work seriously, and if you are, you have a real problem because we need this dose of enjoyment every once in a while, but not always because it lacks the real cinematic factors.",8/10,positive
harshraj-sonu1993,"What a spectacle.... Never seen before visuals in Indian cinema...Absolutely genius S S Rajamouli.... No director is closer to him.... The way a simple story has been presented with such a brilliant screenplay, It's beyond expectation.....Do not miss this at any cost.... Go buy a ticket and watch it...You will not regret...",10/10,positive
jaychaudhary-14536,"It's one time experience movie in a life u can't make movie better than this
Jst go watch movie in thetre a genius has made his best to make this movie.",10/10,positive
mk-86091,"1st half is excellent each and every scene is perfect.2nd half is also good but here and there little laggy,but other than that 2nd half is also good one.Interval Bang is the highlight of the movie and Natu Natu song 🔥🔥.NTR and Ram Charan both acted very well.Olivia looks so beautiful 😍",10/10,positive
JohnDeSando,"""Your friendship is more valuable than this life, brother. I'll die with pride."" Komaram Bheem (N. T. Rama Rao Jr.)Two real revolutionary fighters of 1920's India, Bheem and Raju (Ram Charan Teja), fictionally bond in friendship and battle against British colonialism. It's a long journey, over 3 hours, yet about as exciting and romantic as you could hope for in this time when Oscar contenders have strutted their stuff, and we are left with the B team.Well, not quite B in this case because RRR (Rise, Roar, Revolt in the original title) has already won the Critics Choice Award for best foreign language film, and I predict it will be a nominee for Oscar as will its catchy dance tune, Naatu Naatu.For devotees of David Lean and Quentin Tarantino, to name just a few probable influences, Tollywood productions (RRR should be called ""Tollywood"" because of the Telugu different from the usual Bollywood Hindi), this epic flight is full of romance, deceit, exotic fighting (enjoy the surprise jungle-beast package for the Brits), and espionage involving the Empire and India. A more prosaic hunt for an abducted young Indian girl frames the story.The singing and dancing, common to these lavish productions, are accompanied by uncommonly charismatic actors who make the fantasy almost real with their charming performances. Part of RRR was filmed in the Ukraine, adding heft to the pride of country and anti-colonialism themes. Although the fighting is Crouching-Tiger good, the search for love, brotherhood, and family is most definitely acceptable in a melodramatic milieu.RRR is the best of international filmmaking and a feast of cinematic excellence all in the fastest 3 hours you'll ever see.""He said that an Indian's Life is not worth a bullet. So how will this bullet earn its value? When it comes out of your gun and pierces an Englishman's heart."" RajuOn Netflix.",,positive
arthur_tafero,"This film should really have two different ratings; one for India and one for the rest of the world. I have given it a rating for the rest of the cinematic world. In India, the film would easily be an 8 or 9. Indian critics will love it. I enjoyed the film from beginning to end, and tried to attribute the obvious flaws in the film to Indian nationalism. However, most people outside of India really do not understand the history of Indian nationalism (see Gandhi, the film). Yes, the British were immoral, exploitive, and cruel colonialists; however, no picture of the English colonial period is simply black and white. Every pancake has two sides.Gandhi used passive resistance to overcome the British. In this film, the protagonists use various levels of brute force and physical rebellion. The film is obviously over the top and a satire to those in the West, but many in India would not see it as over the top or a satire. To each his own. The cinematography of RRR is spectacular; probably the front runner for the Oscar in that category. And the screenplay is devilishly clever. Thankfully, there is little Bollywood action (as in musical numbers that accompany most ambitious Indian films). Good Indian films (like The Life of Pi and Three Idiots) do not use Bollywood numbers as a crutch to gain Indian audiences; they use good writing and direction, instead. This film is in that tradition, with good writing and direction, in addition to the spectacular cinematography. Enjoy the action sequences and character development plot. Once again, I would give this film an 8 or 9, if it were for Indian distribution alone. But the film is too good to limit to India. The story of an apparent British lackey versus a traditional Indian rebel is strong enough to hold up the film, even without the political overtones.",6/10,positive
